,,Subject,,,665,
,,Protocol,,,Level_4,
,,Type,,,Master,
,,Channel,,,4,
,,Master,,,,
,,Date,,,2025-08-20,
,,Time,,,16:43:58,241,
,,Clock,,,5,
,,Time Warp,,,1x,
0,0,000,Start,,,,
1,0,000,Entry,0,Ready,,
2,0,005,Exit,0,Ready,Time,
3,0,005,Entry,1,MagEntry,,
4,0,005,Reg,2,ComptNbessai,    1,000,
5,0,005,Reg,13,Accuracy,  100,000,
6,0,005,Reg,14,Omission,    0,000,
7,57,225,Input,2,On1A2,,
8,57,225,Input,3,On1A3,,
9,57,565,Input,34,Off1A2,,
10,57,565,Input,35,Off1A3,,
11,65,130,Input,2,On1A2,,
12,65,470,Input,34,Off1A2,,
13,117,125,Input,1,On1A1,,
14,117,125,Exit,1,MagEntry,1,
15,117,125,Entry,2,ITI2sec,,
16,117,790,Input,33,Off1A1,,
17,119,130,Exit,2,ITI2sec,Time,
18,119,130,Entry,3,RandomHole,,
19,119,140,Exit,3,RandomHole,Time,
20,119,140,List,,Pseudo1a5,   14,000,
21,119,140,Entry,14,hole5,,
22,119,140,Reg,12,HoleNumber,    5,000,
23,124,145,Exit,14,hole5,Time,
24,124,145,Entry,30,Hold5,,
25,130,240,Input,2,On1A2,,
26,130,240,Exit,30,Hold5,2,
27,130,240,Entry,18,IncorrectResp,,
28,130,240,Reg,4,ComptIncR,    1,000,
29,130,240,Reg,1,ComptOmision,    0,000,
30,130,250,Exit,18,IncorrectResp,Time,
31,130,250,Entry,5,TimeOut,,
32,130,905,Input,34,Off1A2,,
33,132,610,Input,4,On1A4,,
34,133,920,Input,36,Off1A4,,
35,135,255,Exit,5,TimeOut,Time,
36,135,255,Entry,1,MagEntry,,
37,135,255,Reg,2,ComptNbessai,    2,000,
38,135,255,Reg,13,Accuracy,   97,826,
39,135,255,Reg,14,Omission,    0,000,
40,171,890,Input,1,On1A1,,
41,171,890,Exit,1,MagEntry,1,
42,171,890,Entry,2,ITI2sec,,
43,172,230,Input,33,Off1A1,,
44,173,895,Exit,2,ITI2sec,Time,
45,173,895,Entry,3,RandomHole,,
46,173,905,Exit,3,RandomHole,Time,
47,173,905,List,,Pseudo1a5,   12,000,
48,173,905,Entry,12,hole4,,
49,173,905,Reg,12,HoleNumber,    4,000,
50,178,910,Exit,12,hole4,Time,
51,178,910,Entry,29,Hold4,,
52,228,100,Input,4,On1A4,,
53,228,100,Exit,29,Hold4,4,
54,228,100,Entry,18,IncorrectResp,,
55,228,100,Reg,4,ComptIncR,    2,000,
56,228,100,Reg,1,ComptOmision,    0,000,
57,228,110,Exit,18,IncorrectResp,Time,
58,228,110,Entry,5,TimeOut,,
59,228,440,Input,36,Off1A4,,
60,233,115,Exit,5,TimeOut,Time,
61,233,115,Entry,1,MagEntry,,
62,233,115,Reg,2,ComptNbessai,    3,000,
63,233,115,Reg,13,Accuracy,   95,745,
64,233,115,Reg,14,Omission,    0,000,
65,251,675,Input,3,On1A3,,
66,251,675,Input,4,On1A4,,
67,252,010,Input,35,Off1A3,,
68,252,010,Input,36,Off1A4,,
69,252,125,Input,3,On1A3,,
70,252,125,Input,4,On1A4,,
71,252,465,Input,35,Off1A3,,
72,252,465,Input,36,Off1A4,,
73,262,515,Input,4,On1A4,,
74,262,850,Input,36,Off1A4,,
75,403,675,Input,1,On1A1,,
76,403,675,Exit,1,MagEntry,1,
77,403,675,Entry,2,ITI2sec,,
78,404,010,Input,33,Off1A1,,
79,405,680,Exit,2,ITI2sec,Time,
80,405,680,Entry,3,RandomHole,,
81,405,690,Exit,3,RandomHole,Time,
82,405,690,List,,Pseudo1a5,   14,000,
83,405,690,Entry,14,hole5,,
84,405,690,Reg,12,HoleNumber,    5,000,
85,408,035,Input,3,On1A3,,
86,408,035,Input,4,On1A4,,
87,408,035,Exit,14,hole5,4,
88,408,035,Entry,17,CorrectResp,,
89,408,035,Reg,3,ComptCR,    1,000,
90,408,035,Reg,6,Reward,    1,000,
91,408,035,Reg,8,CptReward,   46,000,
92,408,035,Reg,1,ComptOmision,    0,000,
93,408,040,Exit,17,CorrectResp,Time,
94,408,040,Entry,1,MagEntry,,
95,408,040,Reg,2,ComptNbessai,    4,000,
96,408,040,Reg,13,Accuracy,   95,833,
97,408,040,Reg,14,Omission,    0,000,
98,408,370,Input,35,Off1A3,,
99,408,370,Input,36,Off1A4,,
100,408,940,Input,1,On1A1,,
101,408,940,Exit,1,MagEntry,1,
102,408,940,Entry,2,ITI2sec,,
103,410,900,Input,33,Off1A1,,
104,410,945,Exit,2,ITI2sec,Time,
105,410,945,Entry,3,RandomHole,,
106,410,955,Exit,3,RandomHole,Time,
107,410,955,List,,Pseudo1a5,    6,000,
108,410,955,Entry,6,hole1,,
109,410,955,Reg,12,HoleNumber,    1,000,
110,412,440,Input,2,On1A2,,
111,412,440,Exit,6,hole1,2,
112,412,440,Entry,17,CorrectResp,,
113,412,440,Reg,3,ComptCR,    2,000,
114,412,440,Reg,6,Reward,    2,000,
115,412,440,Reg,8,CptReward,   47,000,
116,412,440,Reg,1,ComptOmision,    0,000,
117,412,445,Exit,17,CorrectResp,Time,
118,412,445,Entry,1,MagEntry,,
119,412,445,Reg,2,ComptNbessai,    5,000,
120,412,445,Reg,13,Accuracy,   95,918,
121,412,445,Reg,14,Omission,    0,000,
122,412,775,Input,34,Off1A2,,
123,413,560,Input,1,On1A1,,
124,413,560,Exit,1,MagEntry,1,
125,413,560,Entry,2,ITI2sec,,
126,415,520,Input,33,Off1A1,,
127,415,565,Exit,2,ITI2sec,Time,
128,415,565,Entry,3,RandomHole,,
129,415,575,Exit,3,RandomHole,Time,
130,415,575,List,,Pseudo1a5,   14,000,
131,415,575,Entry,14,hole5,,
132,415,575,Reg,12,HoleNumber,    5,000,
133,415,690,Input,1,On1A1,,
134,416,025,Input,33,Off1A1,,
135,418,020,Input,2,On1A2,,
136,418,020,Exit,14,hole5,2,
137,418,020,Entry,18,IncorrectResp,,
138,418,020,Reg,4,ComptIncR,    3,000,
139,418,020,Reg,1,ComptOmision,    0,000,
140,418,030,Exit,18,IncorrectResp,Time,
141,418,030,Entry,5,TimeOut,,
142,418,360,Input,34,Off1A2,,
143,418,710,Input,2,On1A2,,
144,419,045,Input,34,Off1A2,,
145,423,035,Exit,5,TimeOut,Time,
146,423,035,Entry,1,MagEntry,,
147,423,035,Reg,2,ComptNbessai,    6,000,
148,423,035,Reg,13,Accuracy,   94,000,
149,423,035,Reg,14,Omission,    0,000,
150,425,505,Input,1,On1A1,,
151,425,505,Exit,1,MagEntry,1,
152,425,505,Entry,2,ITI2sec,,
153,425,840,Input,33,Off1A1,,
154,427,510,Exit,2,ITI2sec,Time,
155,427,510,Entry,3,RandomHole,,
156,427,520,Exit,3,RandomHole,Time,
157,427,520,List,,Pseudo1a5,   14,000,
158,427,520,Entry,14,hole5,,
159,427,520,Reg,12,HoleNumber,    5,000,
160,430,055,Input,3,On1A3,,
161,430,055,Input,4,On1A4,,
162,430,055,Exit,14,hole5,4,
163,430,055,Entry,17,CorrectResp,,
164,430,055,Reg,3,ComptCR,    3,000,
165,430,055,Reg,6,Reward,    3,000,
166,430,055,Reg,8,CptReward,   48,000,
167,430,055,Reg,1,ComptOmision,    0,000,
168,430,060,Exit,17,CorrectResp,Time,
169,430,060,Entry,1,MagEntry,,
170,430,060,Reg,2,ComptNbessai,    7,000,
171,430,060,Reg,13,Accuracy,   94,118,
172,430,060,Reg,14,Omission,    0,000,
173,430,395,Input,35,Off1A3,,
174,430,395,Input,36,Off1A4,,
175,430,960,Input,1,On1A1,,
176,430,960,Exit,1,MagEntry,1,
177,430,960,Entry,2,ITI2sec,,
178,431,950,Input,33,Off1A1,,
179,432,945,Input,3,On1A3,,
180,432,945,Exit,2,ITI2sec,3,
181,432,945,Entry,4,Premature,,
182,432,945,Reg,5,ComptPremat,    1,000,
183,432,950,Exit,4,Premature,Time,
184,432,950,Entry,5,TimeOut,,
185,433,285,Input,35,Off1A3,,
186,433,310,Input,2,On1A2,,
187,433,650,Input,34,Off1A2,,
188,433,950,Input,2,On1A2,,
189,434,290,Input,34,Off1A2,,
190,434,380,Input,3,On1A3,,
191,434,715,Input,35,Off1A3,,
192,435,130,Input,3,On1A3,,
193,435,130,Input,4,On1A4,,
194,435,790,Input,35,Off1A3,,
195,435,790,Input,36,Off1A4,,
196,437,955,Exit,5,TimeOut,Time,
197,437,955,Entry,1,MagEntry,,
198,437,955,Reg,2,ComptNbessai,    8,000,
199,437,955,Reg,13,Accuracy,   94,118,
200,437,955,Reg,14,Omission,    0,000,
201,462,150,Input,2,On1A2,,
202,462,150,Input,3,On1A3,,
203,462,490,Input,4,On1A4,,
204,462,490,Input,34,Off1A2,,
205,462,490,Input,35,Off1A3,,
206,462,820,Input,36,Off1A4,,
207,485,735,Input,1,On1A1,,
208,485,735,Exit,1,MagEntry,1,
209,485,735,Entry,2,ITI2sec,,
210,486,075,Input,33,Off1A1,,
211,487,740,Exit,2,ITI2sec,Time,
212,487,740,Entry,3,RandomHole,,
213,487,750,Exit,3,RandomHole,Time,
214,487,750,List,,Pseudo1a5,   12,000,
215,487,750,Entry,12,hole4,,
216,487,750,Reg,12,HoleNumber,    4,000,
217,489,145,Input,2,On1A2,,
218,489,145,Input,3,On1A3,,
219,489,145,Exit,12,hole4,3,
220,489,145,Entry,17,CorrectResp,,
221,489,145,Reg,3,ComptCR,    4,000,
222,489,145,Reg,6,Reward,    4,000,
